strike,lastPrice,impliedVolatility,openInterest,volume,time_to_maturity,option_type,yfinance.Ticker object <AAPL>,historical_volatility,yfinance.Ticker object <MSFT>,yfinance.Ticker object <GOOG>,yfinance.Ticker object <AMZN>,yfinance.Ticker object <TSLA>,yfinance.Ticker object <NVDA>,yfinance.Ticker object <META>,yfinance.Ticker object <PEP>,yfinance.Ticker object <NFLX>,yfinance.Ticker object <ADBE>,yfinance.Ticker object <AVGO>,yfinance.Ticker object <INTC>,yfinance.Ticker object <CMCSA>,yfinance.Ticker object <CSCO>,yfinance.Ticker object <COST>,yfinance.Ticker object <TMUS>,yfinance.Ticker object <TXN>,yfinance.Ticker object <QCOM>,yfinance.Ticker object <AMGN>,yfinance.Ticker object <HON>,yfinance.Ticker object <AMD>,yfinance.Ticker object <INTU>,yfinance.Ticker object <SBUX>,yfinance.Ticker object <AMAT>,yfinance.Ticker object <GILD>,yfinance.Ticker object <BKNG>,yfinance.Ticker object <ADP>,yfinance.Ticker object <MDLZ>,yfinance.Ticker object <ISRG>,yfinance.Ticker object <REGN>,yfinance.Ticker object <PDD>,yfinance.Ticker object <PYPL>,yfinance.Ticker object <MU>,yfinance.Ticker object <MRNA>,yfinance.Ticker object <FISV>,yfinance.Ticker object <KLAC>,yfinance.Ticker object <MAR>,yfinance.Ticker object <VRTX>,yfinance.Ticker object <LRCX>,yfinance.Ticker object <CTSH>,yfinance.Ticker object <CSX>,yfinance.Ticker object <ADI>,yfinance.Ticker object <SNPS>,yfinance.Ticker object <NXPI>,yfinance.Ticker object <ORLY>,yfinance.Ticker object <EA>,yfinance.Ticker object <IDXX>,yfinance.Ticker object <PANW>,yfinance.Ticker object <MNST>,yfinance.Ticker object <KDP>,yfinance.Ticker object <FTNT>,yfinance.Ticker object <AZN>,yfinance.Ticker object <ROST>,yfinance.Ticker object <CHTR>,yfinance.Ticker object <TEAM>,yfinance.Ticker object <CDNS>,yfinance.Ticker object <EXC>,yfinance.Ticker object <AEP>,yfinance.Ticker object <WDAY>,yfinance.Ticker object <MELI>,yfinance.Ticker object <DXCM>,yfinance.Ticker object <XEL>,yfinance.Ticker object <CRWD>,yfinance.Ticker object <PCAR>,yfinance.Ticker object <LCID>,yfinance.Ticker object <ALGN>,yfinance.Ticker object <ENPH>,yfinance.Ticker object <VRSK>,yfinance.Ticker object <ZS>,yfinance.Ticker object <DDOG>,yfinance.Ticker object <OKTA>,yfinance.Ticker object <BIDU>,yfinance.Ticker object <DOCU>,yfinance.Ticker object <BIIB>,yfinance.Ticker object <ANSS>,yfinance.Ticker object <MRVL>,yfinance.Ticker object <PAYC>,yfinance.Ticker object <ZS>,yfinance.Ticker object <JD>,yfinance.Ticker object <CTAS>,yfinance.Ticker object <PINS>,yfinance.Ticker object <EBAY>,yfinance.Ticker object <TTWO>,yfinance.Ticker object <CPRT>,yfinance.Ticker object <ODFL>,yfinance.Ticker object <BKR>,yfinance.Ticker object <NTES>,yfinance.Ticker object <CEG>,yfinance.Ticker object <FAST>,yfinance.Ticker object <MTCH>
5.0,248.25,1.0000000000000003e-05,0.0,7.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,244.33,1.0000000000000003e-05,0.0,6.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,239.4,1.0000000000000003e-05,0.0,1.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,207.4,6.259767800292969,69.0,18.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,229.3,1.0000000000000003e-05,0.0,2.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,224.0,1.0000000000000003e-05,0.0,1.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,219.25,1.0000000000000003e-05,0.0,1.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,214.6,1.0000000000000003e-05,0.0,2.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,184.23,4.257817177734374,45.0,34.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,201.07,1.0000000000000003e-05,0.0,1.0,0.049315068493150684,1,yfinance.Ticker object <AAPL>,0.14589307752359867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
